region,time,sex,age,count
A,2011,Male,0,14
A,2011,Male,1,100
A,2011,Male,2,75
A,2011,Male,3,4
A,2011,Male,4,2
A,2011,Male,5,85
A,2011,Male,6,34
A,2011,Male,7,95
A,2011,Male,8,5
A,2011,Male,9,0
A,2011,Male,10,32
A,2011,Male,11,59
A,2011,Male,12,38
A,2011,Male,13,18
A,2011,Male,14,63
A,2011,Male,15,45
A,2011,Male,16,32
A,2011,Male,17,62
A,2011,Male,18,25
A,2011,Male,19,27
A,2011,Male,20,61
A,2011,Male,21,14
A,2011,Male,22,38
A,2011,Male,23,8
A,2011,Male,24,62
A,2011,Male,25,94
A,2011,Male,26,26
A,2011,Male,27,31
A,2011,Male,28,71
A,2011,Male,29,10
A,2011,Male,30,15
A,2011,Male,31,67
A,2011,Male,32,12
A,2011,Male,33,48
A,2011,Male,34,62
A,2011,Male,35,38
A,2011,Male,36,26
A,2011,Male,37,56
A,2011,Male,38,73
A,2011,Male,39,56
A,2011,Male,40,39
A,2011,Male,41,50
A,2011,Male,42,78
A,2011,Male,43,55
A,2011,Male,44,6
A,2011,Male,45,12
A,2011,Male,46,25
A,2011,Male,47,34
A,2011,Male,48,47
A,2011,Male,49,21
A,2011,Male,50,44
A,2011,Male,51,56
A,2011,Male,52,41
A,2011,Male,53,15
A,2011,Male,54,10
A,2011,Male,55,9
A,2011,Male,56,19
A,2011,Male,57,80
A,2011,Male,58,23
A,2011,Male,59,12
A,2011,Male,60,47
A,2011,Male,61,7
A,2011,Male,62,83
A,2011,Male,63,88
A,2011,Male,64,87
A,2011,Male,65,72
A,2011,Male,66,25
A,2011,Male,67,88
A,2011,Male,68,53
A,2011,Male,69,62
A,2011,Male,70,39
A,2011,Male,71,2
A,2011,Male,72,93
A,2011,Male,73,56
A,2011,Male,74,51
A,2011,Male,75,87
A,2011,Male,76,35
A,2011,Male,77,96
A,2011,Male,78,66
A,2011,Male,79,61
A,2011,Male,80,19
A,2011,Male,81,47
A,2011,Male,82,7
A,2011,Male,83,48
A,2011,Male,84,98
A,2011,Male,85,6
A,2011,Male,86,59
A,2011,Male,87,11
A,2011,Male,88,32
A,2011,Male,89,75
A,2011,Male,90,17
A,2011,Male,91,56
A,2011,Male,92,13
A,2011,Male,93,77
A,2011,Male,94,31
A,2011,Male,95,67
A,2011,Male,96,36
A,2011,Male,97,85
A,2011,Male,98,35
A,2011,Male,99,78
A,2011,Male,100,15
A,2011,Male,101,68
A,2011,Male,102,21
A,2011,Male,103,27
A,2011,Male,104,3
A,2011,Male,105,38
A,2011,Female,0,77
A,2011,Female,1,69
A,2011,Female,2,52
A,2011,Female,3,23
A,2011,Female,4,46
A,2011,Female,5,74
A,2011,Female,6,37
A,2011,Female,7,23
A,2011,Female,8,4
A,2011,Female,9,32
A,2011,Female,10,54
A,2011,Female,11,85
A,2011,Female,12,37
A,2011,Female,13,76
A,2011,Female,14,18
A,2011,Female,15,57
A,2011,Female,16,83
A,2011,Female,17,9
A,2011,Female,18,95
A,2011,Female,19,17
A,2011,Female,20,65
A,2011,Female,21,57
A,2011,Female,22,15
A,2011,Female,23,54
A,2011,Female,24,74
A,2011,Female,25,82
A,2011,Female,26,81
A,2011,Female,27,8
A,2011,Female,28,55
A,2011,Female,29,85
A,2011,Female,30,75
A,2011,Female,31,45
A,2011,Female,32,57
A,2011,Female,33,53
A,2011,Female,34,25
A,2011,Female,35,76
A,2011,Female,36,57
A,2011,Female,37,16
A,2011,Female,38,32
A,2011,Female,39,18
A,2011,Female,40,81
A,2011,Female,41,58
A,2011,Female,42,31
A,2011,Female,43,55
A,2011,Female,44,73
A,2011,Female,45,60
A,2011,Female,46,88
A,2011,Female,47,54
A,2011,Female,48,31
A,2011,Female,49,65
A,2011,Female,50,84
A,2011,Female,51,31
A,2011,Female,52,8
A,2011,Female,53,57
A,2011,Female,54,42
A,2011,Female,55,9
A,2011,Female,56,47
A,2011,Female,57,43
A,2011,Female,58,6
A,2011,Female,59,85
A,2011,Female,60,90
A,2011,Female,61,91
A,2011,Female,62,76
A,2011,Female,63,26
A,2011,Female,64,56
A,2011,Female,65,90
A,2011,Female,66,41
A,2011,Female,67,54
A,2011,Female,68,20
A,2011,Female,69,57
A,2011,Female,70,14
A,2011,Female,71,60
A,2011,Female,72,51
A,2011,Female,73,41
A,2011,Female,74,16
A,2011,Female,75,39
A,2011,Female,76,98
A,2011,Female,77,45
A,2011,Female,78,48
A,2011,Female,79,78
A,2011,Female,80,1
A,2011,Female,81,80
A,2011,Female,82,80
A,2011,Female,83,78
A,2011,Female,84,33
A,2011,Female,85,20
A,2011,Female,86,1
A,2011,Female,87,74
A,2011,Female,88,83
A,2011,Female,89,81
A,2011,Female,90,18
A,2011,Female,91,26
A,2011,Female,92,86
A,2011,Female,93,8
A,2011,Female,94,81
A,2011,Female,95,61
A,2011,Female,96,64
A,2011,Female,97,64
A,2011,Female,98,27
A,2011,Female,99,41
A,2011,Female,100,46
A,2011,Female,101,33
A,2011,Female,102,65
A,2011,Female,103,58
A,2011,Female,104,79
A,2011,Female,105,42
